jurisdiction,date,cumulative_deaths,total_deaths_per_100000_(age-adjusted),death_data_as_of,sewershed_id,reporting_jurisdiction,county,population_served,current_virus_levels_in_wastewater_by_site_(in_%),percent_change_in_the_last_15_days,percent_of_wastewater_samples_with_detectable_virus,viral_activity_level
United States,2020-11-21,266458,66.6,Feb 27 2025,,,,,,,,
United States,2020-11-14,253115,63.3,Feb 27 2025,,,,,,,,
United States,2020-11-07,242471,60.6,Feb 27 2025,,,,,,,,
United States,2020-10-31,233717,58.4,Feb 27 2025,,,,,,,,
United States,2020-10-24,226698,56.7,Feb 27 2025,,,,,,,,
United States,2020-10-17,220708,55.2,Feb 27 2025,,,,,,,,
United States,2020-10-10,215513,53.9,Feb 27 2025,,,,,,,,
United States,2020-10-03,210700,52.7,Feb 27 2025,,,,,,,,
United States,2020-09-26,206460,51.6,Feb 27 2025,,,,,,,,
United States,2020-09-19,202164,50.5,Feb 27 2025,,,,,,,,
United States,2020-09-12,197891,49.5,Feb 27 2025,,,,,,,,
United States,2020-09-05,193273,48.3,Feb 27 2025,,,,,,,,
United States,2020-08-29,188263,47.1,Feb 27 2025,,,,,,,,
United States,2020-08-22,182524,45.6,Feb 27 2025,,,,,,,,
United States,2020-08-15,176150,44.1,Feb 27 2025,,,,,,,,
United States,2020-08-08,168902,42.3,Feb 27 2025,,,,,,,,
United States,2020-08-01,161054,40.3,Feb 27 2025,,,,,,,,
United States,2020-07-25,152769,38.2,Feb 27 2025,,,,,,,,
United States,2020-07-18,144540,36.2,Feb 27 2025,,,,,,,,
United States,2020-07-11,137374,34.4,Feb 27 2025,,,,,,,,
United States,2020-07-04,131604,32.9,Feb 27 2025,,,,,,,,
United States,2020-06-27,127064,31.8,Feb 27 2025,,,,,,,,
United States,2020-06-20,123229,30.8,Feb 27 2025,,,,,,,,
United States,2020-06-13,119385,29.9,Feb 27 2025,,,,,,,,
United States,2020-06-06,115158,28.8,Feb 27 2025,,,,,,,,
United States,2020-05-30,110112,27.5,Feb 27 2025,,,,,,,,
United States,2020-05-23,103952,26.0,Feb 27 2025,,,,,,,,
United States,2020-05-16,96723,24.2,Feb 27 2025,,,,,,,,
United States,2020-05-09,87494,21.9,Feb 27 2025,,,,,,,,
United States,2020-05-02,76271,19.1,Feb 27 2025,,,,,,,,
United States,2020-04-25,63071,15.8,Feb 27 2025,,,,,,,,
United States,2020-04-18,47546,11.9,Feb 27 2025,,,,,,,,
United States,2020-04-11,30345,7.6,Feb 27 2025,,,,,,,,
United States,2020-04-04,14039,3.5,Feb 27 2025,,,,,,,,
United States,2020-03-28,3926,1.0,Feb 27 2025,,,,,,,,
United States,2020-03-21,715,0.2,Feb 27 2025,,,,,,,,
United States,2020-03-14,129,0.0,Feb 27 2025,,,,,,,,
United States,2020-03-07,69,0.0,Feb 27 2025,,,,,,,,
United States,2020-02-29,31,0.0,Feb 27 2025,,,,,,,,
United States,2020-02-22,22,0.0,Feb 27 2025,,,,,,,,
United States,2020-02-15,16,,Feb 27 2025,,,,,,,,
United States,2020-02-08,10,,Feb 27 2025,,,,,,,,
United States,2020-02-01,6,,Feb 27 2025,,,,,,,,
United States,2020-01-25,6,,Feb 27 2025,,,,,,,,
United States,2020-01-18,3,,Feb 27 2025,,,,,,,,
United States,2020-01-11,1,,Feb 27 2025,,,,,,,,
